rule;support_2016Q1;support_2017Q1;support_2018Q1;support_2019Q1;support_2020Q1;support_2021Q1;support_2022Q1;support_2016Q2;support_2017Q2;support_2018Q2;support_2019Q2;support_2020Q2;support_2021Q2;support_2022Q2;support_2016Q3;support_2017Q3;support_2018Q3;support_2019Q3;support_2020Q3;support_2021Q3;support_2022Q3;support_2016Q4;support_2017Q4;support_2018Q4;support_2019Q4;support_2020Q4;support_2021Q4;support_2022Q4;lift_2016Q1;lift_2017Q1;lift_2018Q1;lift_2019Q1;lift_2020Q1;lift_2021Q1;lift_2022Q1;lift_2016Q2;lift_2017Q2;lift_2018Q2;lift_2019Q2;lift_2020Q2;lift_2021Q2;lift_2022Q2;lift_2016Q3;lift_2017Q3;lift_2018Q3;lift_2019Q3;lift_2020Q3;lift_2021Q3;lift_2022Q3;lift_2016Q4;lift_2017Q4;lift_2018Q4;lift_2019Q4;lift_2020Q4;lift_2021Q4;lift_2022Q4;disclosure;financial-reports;information-about-bank;annual-reports;covered-bonds;root-financial-indicators;information-for-shareholders;financial-statement;information-for-investors-except-shareholders
covered-bonds, financial-statement:financial-reports, information-about-bank;;;;;;;;;;;;;;;;0,000290107;;;;;;;;;;;;;;;;;;;;;;;;;;;;31,91666667;;;;;;;;;;;;;1;1;1;0;1;0;0;1;0
information-for-shareholders, root-financial-indicators:annual-reports;;;;;;;;;;;;;;;;;;;;;;;;;;0,000197183;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,699541284;;;0;0;0;1;0;1;1;0;0
information-for-shareholders, financial-reports, financial-statement:root-financial-indicators;0,00034459;0,000101989;;;;;;;0,000119161;;;;;;0,000240964;;;;;;;0,000233263;;;;;;;2,955695128;4,922188755;;;;;;;7,040268456;;;;;;6,939799331;;;;;;;6,555045872;;;;;;;1;1;0;0;0;1;1;1;0
covered-bonds, root-financial-indicators, annual-reports:financial-reports, information-about-bank;;0,000611933;;;;;;0,000352361;;;;;;;;;;;;;;;0,000181258;;;;;;;30,35603715;;;;;;44,51764706;;;;;;;;;;;;;;;47,76623377;;;;;;1;1;1;1;1;1;0;0;0
financial-reports, financial-statement, root-financial-indicators:annual-reports;;;0,000137278;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,949576415;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;0;1;0;1;0;1;0
information-for-shareholders, annual-reports:root-financial-indicators;0,002699288;;;;;;;0,001673714;;;;;;;;;;;;;;;0,000543774;;;;;;2,437152123;;;;;;;4,796797509;;;;;;;;;;;;;;;6,527062999;;;;;;0;0;0;1;0;1;1;0;0
financial-reports, annual-reports, financial-statement, root-financial-indicators, information-for-shareholders:information-about-bank;0,000172295;;;;;;;;0,000119161;;;;;;;;;;;;;0,000116632;;;;;;;4,34648028;;;;;;;;2,413574921;;;;;;;;;;;;;2,085623936;;;;;;;1;1;1;1;0;1;1;1;0
financial-reports, covered-bonds:annual-reports;0,008614748;0,008567058;0,006280459;0,006561906;;;;0,007135307;0,011320305;0,005773476;0,006052554;;;;;0,012184508;0,007571863;0,004544727;;;;0,010730114;0,009969186;0,008008214;0,001737404;;;;5,126805905;3,864583333;4,780241296;4,704305443;;;;4,507676922;3,547545944;4,493079492;5,149372862;;;;;4,341309824;5,462088333;4,956376904;;;;4,819208211;6,401109623;5,17111819;4,679908403;;;;0;1;0;1;1;0;0;0;0
financial-statement, root-financial-indicators:financial-reports, information-about-bank;;;;;;;;;;;;;;;;;;0,000192031;0,000102824;;;;;;;;;;;;;;;;;;;;;;;;;;;69,43333333;147,3535354;;;;;;;;;;1;1;1;0;0;1;0;1;0
information-for-shareholders, financial-statement, information-about-bank:root-financial-indicators;;;;;;;;0,000352361;0,000238322;0,000101885;;;;;0,000321285;;;;;;;0,000349895;;;;;;;;;;;;;;5,806649616;7,040268456;8,463638977;;;;;6,939799331;;;;;;;6,555045872;;;;;;;1;0;1;0;0;1;1;1;0
information-for-shareholders, financial-reports, covered-bonds, annual-reports:root-financial-indicators;0,000287158;0,000611933;;;;;;0,000440451;;;;;;;;0,000290107;;;;;;0,000349895;0,000181258;;;;;;2,955695128;4,922188755;;;;;;5,806649616;;;;;;;;1,5,5152;;;;;;6,555045872;7,614906832;;;;;;0;1;0;1;1;1;1;0;0
annual-reports, financial-statement, information-about-bank:financial-reports;;;;;;;;;;;;;;;;;;0,00012802;0,000239923;;;;;;;;;;;;;;;;;;;;;;;;;;;6,931011535;15,50972053;;;;;;;;;;1;1;1;1;0;0;0;1;0
annual-reports, information-about-bank, root-financial-indicators:financial-reports;;0,006323304;;;;;;;0,002621544;;;;;;0,002811245;;;;;;;;;;;;;;;6,144353029;;;;;;;9,959218902;;;;;;8,943965517;;;;;;;;;;;;;;1;1;1;1;0;1;0;0;0
annual-reports, financial-statement, information-about-bank, root-financial-indicators:information-for-shareholders;;;;;;;;;;;;;;;;;;;;;;0,000116632;;;;;;;;;;;;;;;;;;;;;;;;;;;;9,923611111;;;;;;;1;0;1;1;0;1;1;1;0
information-for-shareholders, information-about-bank, root-financial-indicators:annual-reports;;;;;;;;;;;;;;;;;;0,000320051;;;;;;;;0,000140845;;;;;;;;;;;;;;;;;;;;4,130314086;;;;;;;;5,428134557;;;1;0;1;1;0;1;1;0;0
financial-statement, root-financial-indicators:information-for-shareholders, financial-reports;;;;;;;;;;;;;;;;;;;0,000102824;;;;;;;;;;;;;;;;;;;;;;;;;;;;858,1176471;;;;;;;;;;1;1;0;0;0;1;1;1;0
covered-bonds, financial-statement:information-about-bank;;;;;;;;;;;;;;;;0,000290107;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,384641992;;;;;;;;;;;;;1;0;1;0;1;0;0;1;0
financial-reports, financial-statement, root-financial-indicators, information-for-shareholders, information-about-bank:annual-reports;;;;;;;;;0,000119161;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,6969163;;;;;;;;;;;;;;;;;;;;1;1;1;1;0;1;1;1;0
information-for-shareholders, covered-bonds, root-financial-indicators, annual-reports:financial-reports;;0,000611933;;;;;;0,000440451;;;;;;;;;;;;;;0,000349895;0,000181258;;;;;;;7,333582648;;;;;;11,70309278;;;;;;;;;;;;;;8,608433735;11,76332623;;;;;;0;1;0;1;1;1;1;0;0
information-for-shareholders, financial-reports, covered-bonds:annual-reports, information-about-bank;;;;;;;;;;;;;;;;;;;;;;0,000349895;;;;;;;;;;;;;;;;;;;;;;;;;;;;35,13934426;;;;;;;1;1;1;1;1;0;1;0;0
information-for-shareholders, financial-reports, root-financial-indicators:annual-reports, information-about-bank;;;;;0,000155513;;;;;;;;;;;;;;;;;;;;;0,000112676;;;;;;;26,79305556;;;;;;;;;;;;;;;;;;;;;84,12322275;;;1;1;1;1;0;1;1;0;0
financial-reports, covered-bonds, information-about-bank, root-financial-indicators:information-for-shareholders, annual-reports;0,000229727;0,000611933;;;;;;0,000352361;;;;;;;;0,000145054;;;;;;0,000349895;0,000181258;;;;;;244,3789474;297,1212121;;;;;;493,5652174;;;;;;;;492,4285714;;;;;;571,6;1576,285714;;;;;;1;1;1;1;1;1;1;0;0
information-for-shareholders, annual-reports, financial-statement, root-financial-indicators:information-about-bank;0,000172295;;;;;;;;0,000119161;;;;;;;;;;;;;0,000116632;;;;;;;4,34648028;;;;;;;;2,413574921;;;;;;;;;;;;;2,085623936;;;;;;;1;0;1;1;0;1;1;1;0
information-for-shareholders, covered-bonds, information-about-bank:annual-reports, root-financial-indicators;0,000229727;0,000611933;;;;;;0,000352361;;;;;;;;0,000145054;;;;;;;0,000181258;;;;;;32,09585253;38,30078125;;;;;;52,31336406;;;;;;;;68,25742574;;;;;;;114,9375;;;;;;1;0;1;1;1;1;1;0;0
information-for-shareholders, financial-reports:root-financial-indicators;0,004479669;0,003671596;0,001647333;;;;;0,002202255;;;;;;;0,00184739;0,002901073;;;;;;0,003032424;;;;;;;2,533452967;4,120902214;7,622759974;;;;;5,376527423;;;;;;;5,700549451;4,596;;;;;;6,086828309;;;;;;;0;1;0;0;0;1;1;0;0
annual-reports, root-financial-indicators:information-about-bank;;;;;;0,000450341;;;;;;;0,000108578;;;;;;0,000342747;0,000130852;;;;;;;;;;;;;;1,650761881;;;;;;;1,226038339;;;;;;1,23399144;1,467165283;;;;;;;;;1;0;1;1;0;1;0;0;0
financial-statement, information-about-bank, root-financial-indicators:financial-reports;;;;;;;;;;;;;;;;;;0,000192031;0,000102824;;;;;;;;;;;;;;;;;;;;;;;;;;;6,931011535;17,7253949;;;;;;;;;;1;1;1;0;0;1;0;1;0
information-for-shareholders, financial-reports, financial-statement, information-about-bank:annual-reports, root-financial-indicators;;;;;;;;;0,000119161;;;;;;;;;;;;;;;;;;;;;;;;;;;;58,27777778;;;;;;;;;;;;;;;;;;;;1;1;1;1;0;1;1;1;0
covered-bonds, information-about-bank, root-financial-indicators:financial-reports, annual-reports;;0,000611933;;;;;;0,000352361;;;;;;;;0,000145054;;;;;;;;;;;;;;30,54517134;;;;;;54,57692308;;;;;;;;37,87912088;;;;;;;;;;;;;1;1;1;1;1;1;0;0;0
information-for-shareholders, covered-bonds, annual-reports:financial-reports, root-financial-indicators;;0,000611933;;;;;;0,000440451;;;;;;;;;;;;;;;;;;;;;;28,92330383;;;;;;43,32824427;;;;;;;;;;;;;;;;;;;;;0;1;0;1;1;1;1;0;0
covered-bonds, root-financial-indicators, information-about-bank, annual-reports:information-for-shareholders;0,000229727;0,000611933;;;;;;0,000352361;;;;;;;;0,000145054;;;;;;0,000349895;0,000181258;;;;;;5,485822306;5,580535003;;;;;;6,67372134;;;;;;;;8,782165605;;;;;;9,923611111;10,7964775;;;;;;1;0;1;1;1;1;1;0;0
covered-bonds, root-financial-indicators, annual-reports:information-for-shareholders, financial-reports;;0,000611933;;;;;;0,000440451;;;;;;;;;;;;;;;0,000181258;;;;;;;228,0232558;;;;;;420,4444444;;;;;;;;;;;;;;;525,4285714;;;;;;0;1;0;1;1;1;1;0;0
information-for-investors-except-shareholders, information-for-shareholders:information-about-bank;;;;;0,000103675;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,080116455;;;;;;;;;;;;;;;;;;;;;;;;1;0;1;0;0;0;1;0;1
covered-bonds, information-about-bank, annual-reports:financial-reports;0,008385022;0,008567058;0,006280459;0,006561906;;;;0,006871036;0,011320305;0,005739514;0,005609684;;;;;0,012039455;0,007571863;0,004544727;;;;0,010730114;0,009969186;0,007956879;0,001638124;;;;7,042713637;7,247305205;14,06741591;8,358722592;;;;10,73930867;11,52730585;13,35564102;10,46826422;;;;;9,980325467;7,727529123;6,834747486;;;;8,336588459;11,25187726;7,58589848;7,845922342;;;;1;1;1;1;1;0;0;0;0
information-for-shareholders, covered-bonds, information-about-bank, root-financial-indicators:financial-reports, annual-reports;0,000229727;0,000611933;;;;;;0,000352361;;;;;;;;0,000145054;;;;;;;0,000181258;;;;;;28,6617284;30,54517134;;;;;;54,57692308;;;;;;;;37,87912088;;;;;;;55,17;;;;;;1;1;1;1;1;1;1;0;0
financial-statement, root-financial-indicators:information-for-shareholders;;;;;;;;;;;;;;;;;;;0,000102824;;;;;;;;;;;;;;;;;;;;;;;;;;;;12,45241144;;;;;;;;;;1;0;0;0;0;1;1;1;0
covered-bonds, information-about-bank, root-financial-indicators:information-for-shareholders;;0,000611933;;;;;;0,000352361;;;;;;;;0,000145054;;;;;;0,000466527;;;;;;;;5,580535003;;;;;;6,67372134;;;;;;;;8,782165605;;;;;;7,938888889;;;;;;;1;0;1;0;1;1;1;0;0
covered-bonds, root-financial-indicators, annual-reports:information-for-shareholders, financial-reports, information-about-bank;;0,000611933;;;;;;0,000352361;;;;;;;;;;;;;;;0,000181258;;;;;;;544,7222222;;;;;;756,8;;;;;;;;;;;;;;;2206,8;;;;;;1;1;1;1;1;1;1;0;0
covered-bonds, financial-statement, annual-reports:financial-reports;;;;;;;;;;;;;;;;0,000290107;;;;;;;;;;;;;;;;;;;;;;;;;;;;10,46130501;;;;;;;;;;;;;1;1;0;1;1;0;0;1;0
information-for-shareholders, covered-bonds, root-financial-indicators, annual-reports:financial-reports, information-about-bank;;0,000611933;;;;;;0,000352361;;;;;;;;;;;;;;0,000349895;0,000181258;;;;;;;30,35603715;;;;;;44,51764706;;;;;;;;;;;;;;37,9380531;47,76623377;;;;;;1;1;1;1;1;1;1;0;0
financial-statement, information-about-bank, root-financial-indicators:information-for-shareholders, financial-reports;;;;;;;;;;;;;;;;;;;0,000102824;;;;;;;;;;;;;;;;;;;;;;;;;;;;858,1176471;;;;;;;;;;1;1;1;0;0;1;1;1;0
annual-reports, financial-statement, root-financial-indicators:information-for-shareholders, financial-reports, information-about-bank;;;;;;;;;;;;;;;;;;;;;;0,000116632;;;;;;;;;;;;;;;;;;;;;;;;;;;;779,4545455;;;;;;;1;1;1;1;0;1;1;1;0
financial-statement, root-financial-indicators:information-for-shareholders, information-about-bank;;;;;;;;;;;;;;;;;;;0,000102824;;;;;;;;;;;;;;;;;;;;;;;;;;;;884,1212121;;;;;;;;;;1;0;1;0;0;1;1;1;0
information-for-shareholders, financial-reports, financial-statement, root-financial-indicators:information-about-bank;0,000287158;0,000101989;;;;;;;0,000119161;;;;;;0,000240964;0,000145054;0,00014022;;0,000102824;;;0,000233263;;;;;;;3,6220669;3,188617886;;;;;;;2,413574921;;;;;;1,708287596;2,384641992;1,829727187;;1,480789727;;;2,085623936;;;;;;;1;1;1;0;0;1;1;1;0
information-for-investors-except-shareholders, financial-reports, financial-statement:information-about-bank;;;;;;;;;;;;0,000144383;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,948059254;;;;;;;;;;;;;;;;;1;1;1;0;0;0;0;1;1
covered-bonds, financial-statement, information-about-bank:financial-reports;;;;;;;;;;;;;;;;0,000290107;;;;;;;;;;;;;;;;;;;;;;;;;;;;10,46130501;;;;;;;;;;;;;1;1;1;0;1;0;0;1;0
information-for-shareholders, financial-reports, information-about-bank, root-financial-indicators:annual-reports;;;;;0,000155513;;;;;;0,000369058;;;;;;;0,000256041;;;;;;;;0,000112676;;;;;;;3,619324578;;;;;;4,291144052;;;;;;;4,956376904;;;;;;;;6,513761468;;;1;1;1;1;0;1;1;0;0
financial-reports, information-about-bank, root-financial-indicators:annual-reports;;;;;;;;;;;;0,000192511;;;;;;;0,000171374;;;;;;;;;;;;;;;;;;;;;4,878610002;;;;;;;5,641144625;;;;;;;;;;1;1;1;1;0;1;0;0;0
information-for-shareholders, covered-bonds, root-financial-indicators:financial-reports;;0,000917899;;;;;;;;;;;;;;;;;;;;;;;;;;;;6,000203984;;;;;;;;;;;;;;;;;;;;;;;;;;;0;1;0;0;1;1;1;0;0
covered-bonds, root-financial-indicators, annual-reports:information-for-shareholders;0,000402022;0,000611933;;;;;;0,000440451;;;;;;;;0,000435161;;;;;;;0,000181258;;;;;;5,485822306;5,580535003;;;;;;6,67372134;;;;;;;;8,782165605;;;;;;;10,7964775;;;;;;0;0;0;1;1;1;1;0;0
information-for-shareholders, financial-reports, financial-statement:information-about-bank;0,000287158;0,000101989;;;0,000207351;;;;0,000119161;;;0,000240639;;;0,000240964;0,000290107;0,000467399;;0,000171374;;;0,000233263;;0,000154004;;;;;3,6220669;3,188617886;;;2,080116455;;;;2,413574921;;;1,623382711;;;1,708287596;2,384641992;1,663388352;;1,480789727;;;2,085623936;;1,78078435;;;;;1;1;1;0;0;0;1;1;0
information-for-shareholders, financial-reports, annual-reports, financial-statement:information-about-bank;0,000172295;;;;0,000103675;;;;0,000119161;;;;;;;;;;;;;0,000116632;;;;;;;4,34648028;;;;2,080116455;;;;2,413574921;;;;;;;;;;;;;2,085623936;;;;;;;1;1;1;1;0;0;1;1;0
financial-reports, annual-reports, financial-statement, root-financial-indicators:information-for-shareholders;;;;;;;;;;;;;;;;;;;;;;0,000116632;;;;;;;;;;;;;;;;;;;;;;;;;;;;9,923611111;;;;;;;1;1;0;1;0;1;1;1;0
information-for-shareholders, annual-reports, root-financial-indicators:financial-reports;;;;;0,000155513;;;;;;;;;;0,000562249;;;;0,000102824;;;;;0,000410678;;;;;;;;;15,2137224;;;;;;;;;;9,391163793;;;;17,7253949;;;;;7,134551115;;;;;0;1;0;1;0;1;1;0;0
information-for-shareholders, financial-reports, covered-bonds, root-financial-indicators:annual-reports, information-about-bank;;;;;;;;;;;;;;;;;;;;;;0,000349895;;;;;;;;;;;;;;;;;;;;;;;;;;;;35,13934426;;;;;;;1;1;1;1;1;1;1;0;0
annual-reports, financial-statement, information-about-bank, root-financial-indicators:financial-reports;0,001263496;0,000917899;0,000137278;;;;;;0,000595806;;;;;;;;;;;;;0,000116632;0,000271887;;;;;;7,119090098;6,000203984;14,60551378;;;;;;11,76998597;;;;;;;;;;;;;8,608433735;11,76332623;;;;;;1;1;1;1;0;1;0;1;0
information-for-shareholders, financial-reports, financial-statement:information-about-bank, root-financial-indicators;0,000287158;0,000101989;;;;;;;0,000119161;;;;;;0,000240964;;;;;;;0,000233263;;;;;;;28,61932939;33,92733564;;;;;;;69,93333333;;;;;;55,08849558;;;;;;;63,51111111;;;;;;;1;1;1;0;0;1;1;1;0
covered-bonds, financial-statement, annual-reports:financial-reports, information-about-bank;;;;;;;;;;;;;;;;0,000290107;;;;;;;;;;;;;;;;;;;;;;;;;;;;31,91666667;;;;;;;;;;;;;1;1;1;1;1;0;0;1;0
covered-bonds, financial-statement:information-for-shareholders;;0,000101989;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,580535003;;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;0;0;1;0;1;1;0
information-for-shareholders, covered-bonds, root-financial-indicators, annual-reports:information-about-bank;;0,000611933;;;;;;0,000352361;;;;;;;;;;;;;;0,000349895;0,000181258;;;;;;;3,188617886;;;;;;1,857937807;;;;;;;;;;;;;;2,085623936;1,801175318;;;;;;1;0;1;1;1;1;1;0;0
information-for-shareholders, financial-reports, annual-reports, financial-statement:information-about-bank, root-financial-indicators;0,000172295;;;;;;;;0,000119161;;;;;;;;;;;;;0,000116632;;;;;;;34,34319527;;;;;;;;69,93333333;;;;;;;;;;;;;63,51111111;;;;;;;1;1;1;1;0;1;1;1;0
financial-reports, annual-reports, root-financial-indicators:information-about-bank;;;;;0,000207351;;;;;;;;;;;;;;0,000171374;;;;;;0,00019856;0,000140845;;;;;;;2,080116455;;;;;;;;;;;;;;1,480789727;;;;;;2,768120921;1,686060318;;;1;1;1;1;0;1;0;0;0
covered-bonds, financial-statement:financial-reports, annual-reports;;;;;;;;;;;;;;;;0,000290107;;;;;;;;;;;;;;;;;;;;;;;;;;;;37,87912088;;;;;;;;;;;;;1;1;0;1;1;0;0;1;0
information-for-shareholders, financial-reports, annual-reports, information-about-bank:root-financial-indicators;0,000976338;0,001121877;0,000205917;;;;;0,000704722;0,000357483;0,00020377;;;;;0,000481928;;;;;;;0,000583158;0,000271887;;;;;;2,39270558;4,512006359;8,73441247;;;;;5,161466326;7,040268456;8,463638977;;;;;5,948399427;;;;;;;6,555045872;7,614906832;;;;;;1;1;1;1;0;1;1;0;0
information-for-shareholders, financial-reports, root-financial-indicators:information-about-bank;;;;;0,000155513;;;;;;;;;;;;;;0,000137099;;;;;;;0,000112676;;;;;;;2,080116455;;;;;;;;;;;;;;1,480789727;;;;;;;1,686060318;;;1;1;1;0;0;1;1;0;0
financial-reports, financial-statement, root-financial-indicators:information-for-shareholders;;;;;;;;;;;;;;;;;;;0,000102824;;;;;;;;;;;;;;;;;;;;;;;;;;;;12,45241144;;;;;;;;;;1;1;0;0;0;1;1;1;0
information-for-shareholders, annual-reports, information-about-bank:financial-reports;0,001206065;0,001223865;;;0,000570214;;;0,000792812;;;0,00088574;;0,000217155;;0,000562249;0,000580215;;0,001280205;0,000377022;0,000730588;;;0,000271887;0,000616016;0,000645321;;;0,000144915;7,090951402;5,866866118;;;12,87314972;;;10,53278351;;;9,681176681;;51,45251397;;10,73275862;10,46130501;;6,300919577;16,24827866;8,590471357;;;11,76332623;6,421096003;8,796943231;;;6,417561271;1;1;1;1;0;0;1;0;0
information-for-investors-except-shareholders, root-financial-indicators:information-about-bank;;;;;0,000207351;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,080116455;;;;;;;;;;;;;;;;;;;;;;;;1;0;1;0;0;1;0;0;1
information-for-shareholders, financial-reports, financial-statement:annual-reports, information-about-bank, root-financial-indicators;;;;;;;;;0,000119161;;;;;;;;;;;;;;;;;;;;;;;;;;;;322,7692308;;;;;;;;;;;;;;;;;;;;1;1;1;1;0;1;1;1;0
information-for-shareholders, financial-reports, financial-statement, root-financial-indicators:annual-reports;;;;;;;;;0,000119161;;;;;;;;;;;;;;;;;;;;;;;;;;;;3,6969163;;;;;;;;;;;;;;;;;;;;1;1;0;1;0;1;1;1;0
financial-reports, covered-bonds, annual-reports, root-financial-indicators, information-about-bank:information-for-shareholders;0,000229727;0,000611933;;;;;;0,000352361;;;;;;;;0,000145054;;;;;;0,000349895;0,000181258;;;;;;5,485822306;5,580535003;;;;;;6,67372134;;;;;;;;8,782165605;;;;;;9,923611111;10,7964775;;;;;;1;1;1;1;1;1;1;0;0
information-for-shareholders, annual-reports, information-about-bank, root-financial-indicators:financial-reports;0,000976338;0,001121877;;;0,000155513;;;0,000704722;;;0,000369058;;;;0,000481928;0,000435161;;0,000256041;0,000102824;;;0,000583158;0,000271887;0,000359343;;;;;7,334820101;6,205339163;;;15,2137224;;;11,70309278;;;9,412255106;;;;10,73275862;10,46130501;;5,544809228;17,7253949;;;7,173694779;11,76332623;7,023073754;;;;;1;1;1;1;0;1;1;0;0
information-for-shareholders, root-financial-indicators:financial-reports;;;;;;;;;;;;;;;;;;;0,000137099;;;;;;;;;;;;;;;;;;;;;;;;;;;;17,7253949;;;;;;;;;;0;1;0;0;0;1;1;0;0
information-for-shareholders, annual-reports, financial-statement:root-financial-indicators;0,000172295;;;;;;;;0,000119161;;;;;;;;;;;;;0,000116632;;;;;;;2,955695128;;;;;;;;7,040268456;;;;;;;;;;;;;6,555045872;;;;;;;1;0;0;1;0;1;1;1;0
financial-reports, covered-bonds, financial-statement:information-about-bank;;;;;;;;;;;;;;;;0,000290107;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,384641992;;;;;;;;;;;;;1;1;1;0;1;0;0;1;0
information-for-shareholders, annual-reports, financial-statement:financial-reports, root-financial-indicators;0,000172295;;;;;;;;0,000119161;;;;;;;;;;;;;0,000116632;;;;;;;28,03864734;;;;;;;;53,4522293;;;;;;;;;;;;;43,96923077;;;;;;;1;1;0;1;0;1;1;1;0
information-for-shareholders, annual-reports, financial-statement:information-about-bank, root-financial-indicators;0,000172295;;;;;;;;0,000119161;;;;;;;;;;;;;0,000116632;;;;;;;34,34319527;;;;;;;;69,93333333;;;;;;;;;;;;;63,51111111;;;;;;;1;0;1;1;0;1;1;1;0
information-for-shareholders, information-about-bank:financial-reports;;;;;;;;;;;;;;;;;;;;0,000752396;;;;;;;;;;;;;;;;;;;;;;;;;;;;7,303838802;;;;;;;;;1;1;1;0;0;0;1;0;0
information-for-shareholders, financial-statement, information-about-bank, root-financial-indicators:financial-reports;;;;;;;;;;;;;;;;;0,00014022;;0,000102824;;;;;;;;;;;;;;;;;;;;;;;;;;8,347639485;;17,7253949;;;;;;;;;;1;1;1;0;0;1;1;1;0
information-for-shareholders, annual-reports, financial-statement, root-financial-indicators:financial-reports, information-about-bank;0,000172295;;;;;;;;0,000119161;;;;;;;;;;;;;0,000116632;;;;;;;35,97520661;;;;;;;;43,25773196;;;;;;;;;;;;;37,9380531;;;;;;;1;1;1;1;0;1;1;1;0
covered-bonds, financial-statement:annual-reports, information-about-bank;;;;;;;;;;;;;;;;0,000290107;;;;;;;;;;;;;;;;;;;;;;;;;;;;28,37037037;;;;;;;;;;;;;1;0;1;1;1;0;0;1;0
information-for-shareholders, financial-reports, annual-reports:root-financial-indicators;;0,001223865;0,000480472;;;;;0,000880902;0,000476644;;;;;;0,000562249;0,000725268;;;;;;0,00069979;0,000362516;;;;;;;3,937751004;8,73441247;;;;;5,278772379;7,040268456;;;;;;6,072324415;4,596;;;;;;6,555045872;7,614906832;;;;;;0;1;0;1;0;1;1;0;0
information-for-shareholders, covered-bonds, information-about-bank, annual-reports:financial-reports;0,000229727;0,000611933;;;;;;0,000352361;;;;;;;;0,000145054;;;;;;;0,000181258;;;;;;7,766280107;7,333582648;;;;;;11,70309278;;;;;;;;10,46130501;;;;;;;11,76332623;;;;;;1;1;1;1;1;0;1;0;0
financial-reports, root-financial-indicators:annual-reports;;;;;;;;;;;;0,000240639;;;;;;;0,000171374;;;;;;;;;;;;;;;;;;;;;4,065508335;;;;;;;5,641144625;;;;;;;;;;0;1;0;1;0;1;0;0;0
information-for-shareholders, financial-reports, covered-bonds, information-about-bank:annual-reports, root-financial-indicators;0,000229727;0,000611933;;;;;;0,000352361;;;;;;;;0,000145054;;;;;;0,000349895;0,000181258;;;;;;40,11981567;38,30078125;;;;;;52,31336406;;;;;;;;68,25742574;;;;;;69,14516129;114,9375;;;;;;1;1;1;1;1;1;1;0;0
information-for-shareholders, covered-bonds, information-about-bank:financial-reports, annual-reports, root-financial-indicators;0,000229727;0,000611933;;;;;;0,000352361;;;;;;;;0,000145054;;;;;;;0,000181258;;;;;;83,91325301;97,07920792;;;;;;183,0967742;;;;;;;;255,3333333;;;;;;;459,75;;;;;;1;1;1;1;1;1;1;0;0
covered-bonds, information-about-bank, root-financial-indicators:annual-reports;;0,000611933;;;;;;0,000352361;;;;;;;;0,000145054;;;;;;;;;;;;;;4,140625;;;;;;4,952879581;;;;;;;;4,341309824;;;;;;;;;;;;;1;0;1;1;1;1;0;0;0
information-for-shareholders, information-about-bank:annual-reports;;;;;;;;;;;;;;;;;;;;0,000774205;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,902731598;;;;;;;;;1;0;1;1;0;0;1;0;0
financial-reports, financial-statement, information-about-bank, root-financial-indicators:annual-reports;;;0,000137278;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,936970518;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;0;1;0;1;0
financial-reports, root-financial-indicators:annual-reports, information-about-bank;;;;;;;;;;;;;;;;;;;0,000171374;;;;;;;;;;;;;;;;;;;;;;;;;;;;62,02380952;;;;;;;;;;1;1;1;1;0;1;0;0;0
information-for-shareholders, financial-reports, covered-bonds, annual-reports:information-about-bank;0,000229727;0,000611933;;;;;;0,000352361;;;;;;;;;;;;;;0,000349895;0,000181258;;;;;;3,477184224;3,188617886;;;;;;1,857937807;;;;;;;;;;;;;;2,085623936;1,801175318;;;;;;1;1;1;1;1;0;1;0;0
covered-bonds, information-about-bank:financial-reports;0,00867218;0,008771035;0,006349097;0,006561906;;;;0,007223397;0,011558627;0,005807438;0,005609684;;;;;0,012039455;0,007571863;0,004544727;;;;0,010963378;0,009969186;0,007956879;0,001638124;;;;6,778660671;6,930638546;13,9279384;8,25423856;;;;10,43101748;11,30384792;12,99677861;10,28021157;;;;;9,866912678;6,934962034;6,650024581;;;;8,011809615;11,15487832;6,617485908;7,44356735;;;;1;1;1;0;1;0;0;0;0
information-for-shareholders, annual-reports, financial-statement, information-about-bank:financial-reports;0,000172295;;;;0,000103675;;;;0,000119161;;;;;;;;;;;;;0,000116632;;;;;;;7,766280107;;;;15,2137224;;;;11,76998597;;;;;;;;;;;;;8,608433735;;;;;;;1;1;1;1;0;0;1;1;0
information-for-shareholders, financial-reports, covered-bonds, root-financial-indicators:annual-reports;0,000287158;;;;;;;;;;;;;;;0,000290107;;;;;;0,000349895;;;;;;;4,557160804;;;;;;;;;;;;;;;4,341309824;;;;;;5,028739003;;;;;;;0;1;0;1;1;1;1;0;0
