rule;support_2016Q1;support_2017Q1;support_2018Q1;support_2019Q1;support_2020Q1;support_2021Q1;support_2022Q1;support_2016Q2;support_2017Q2;support_2018Q2;support_2019Q2;support_2020Q2;support_2021Q2;support_2022Q2;support_2016Q3;support_2017Q3;support_2018Q3;support_2019Q3;support_2020Q3;support_2021Q3;support_2022Q3;support_2016Q4;support_2017Q4;support_2018Q4;support_2019Q4;support_2020Q4;support_2021Q4;support_2022Q4;lift_2016Q1;lift_2017Q1;lift_2018Q1;lift_2019Q1;lift_2020Q1;lift_2021Q1;lift_2022Q1;lift_2016Q2;lift_2017Q2;lift_2018Q2;lift_2019Q2;lift_2020Q2;lift_2021Q2;lift_2022Q2;lift_2016Q3;lift_2017Q3;lift_2018Q3;lift_2019Q3;lift_2020Q3;lift_2021Q3;lift_2022Q3;lift_2016Q4;lift_2017Q4;lift_2018Q4;lift_2019Q4;lift_2020Q4;lift_2021Q4;lift_2022Q4;disclosure;financial-reports;information-about-bank;annual-reports;covered-bonds;root-financial-indicators;information-for-shareholders;financial-statement;information-for-investors-except-shareholders
information-for-shareholders, financial-reports, annual-reports:information-about-bank, root-financial-indicators;;;;;;;;;;;;;;;;;;;;;;0,000583158;;;;;;;;;;;;;;;;;;;;;;;;;;;;52,92592593;;;;;;;1;1;1;1;0;1;1;0;0
information-for-investors-except-shareholders, financial-statement:information-about-bank;;;;;;;;;;;;0,000481278;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,770962958;;;;;;;;;;;;;;;;;1;0;1;0;0;0;0;1;1
financial-reports, covered-bonds, root-financial-indicators, annual-reports:information-about-bank;0,000229727;0,000611933;;;;;;0,000352361;;;;;;;;;;;;;;0,000349895;0,000181258;;;;;;3,477184224;3,188617886;;;;;;1,857937807;;;;;;;;;;;;;;2,085623936;1,801175318;;;;;;1;1;1;1;1;1;0;0;0
information-for-shareholders, covered-bonds, financial-statement:information-about-bank;;;;;;;;;;;;;;;;;;;;;;;;;;0,000112676;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,686060318;;;1;0;1;0;1;0;1;1;0
covered-bonds, information-about-bank, root-financial-indicators:information-for-shareholders, financial-reports;;0,000611933;;;;;;0,000352361;;;;;;;;0,000145054;;;;;;;;;;;;;;228,0232558;;;;;;420,4444444;;;;;;;;287,25;;;;;;;;;;;;;1;1;1;0;1;1;1;0;0
information-for-shareholders, annual-reports, information-about-bank:root-financial-indicators;;0,001325854;0,000377514;;;;;0,000704722;0,000595806;0,000373578;;;;;0,000481928;;;;;;;;0,000271887;;;;;;;4,265896921;8,006544764;;;;;4,645319693;5,86689038;7,758335729;;;;;5,948399427;;;;;;;;7,614906832;;;;;;1;0;1;1;0;1;1;0;0
information-for-shareholders, financial-statement, root-financial-indicators:financial-reports;;;;;;;;;;;;;;;;;0,00014022;;0,000102824;;;;;;;;;;;;;;;;;;;;;;;;;;8,347639485;;17,7253949;;;;;;;;;;1;1;0;0;0;1;1;1;0
financial-reports, covered-bonds, financial-statement:annual-reports, information-about-bank;;;;;;;;;;;;;;;;0,000290107;;;;;;;;;;;;;;;;;;;;;;;;;;;;28,37037037;;;;;;;;;;;;;1;1;1;1;1;0;0;1;0
information-for-investors-except-shareholders, annual-reports, information-about-bank:financial-statement;;;;;;;;;;;;0,000240639;;;;;;;;;;;;;;;;;;;;;;;;;;;;46,17333333;;;;;;;;;;;;;;;;;1;0;1;1;0;0;0;1;1
financial-reports, financial-statement, root-financial-indicators:annual-reports, information-about-bank;;;0,000137278;;;;;;;;;;;;;;;;;;;;;;;;;;;;33,58847262;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;1;0;1;0;1;0
covered-bonds, financial-statement:annual-reports;;;;;;;;;;;;;;;;0,000290107;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,341309824;;;;;;;;;;;;;1;0;0;1;1;0;0;1;0
information-for-shareholders, financial-statement, root-financial-indicators:information-about-bank;0,000516885;0,000203978;;;;;;0,000352361;0,000238322;0,000101885;;;;;0,000321285;0,000435161;0,00014022;;0,000102824;;;0,000349895;0,000181258;;;;;;3,911832252;3,188617886;;;;;;2,322422259;2,413574921;2,008389605;;;;;1,708287596;2,384641992;1,829727187;;1,480789727;;;2,085623936;1,801175318;;;;;;1;0;1;0;0;1;1;1;0
information-for-shareholders, annual-reports, financial-statement:information-about-bank;0,000172295;;;;0,000103675;;;;0,000119161;;;;;;;;;;;;;0,000116632;;;;;;;4,34648028;;;;2,080116455;;;;2,413574921;;;;;;;;;;;;;2,085623936;;;;;;;1;0;1;1;0;0;1;1;0
